"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"181",1.13930519646829e-130,1.07789092303905,0.679,0.423,2.28362333580104e-126,"4","Aff3"
"182",1.65651035183932e-118,2.13484254228687,0.181,0.046,3.32030934922673e-114,"4","Strip2"
"183",8.28603037799214e-114,1.22797340497666,0.517,0.277,1.66085192896475e-109,"4","AI593442"
"184",8.52245395214519e-114,2.38422350632885,0.131,0.026,1.70824067016798e-109,"4","Prss23"
"185",1.18773410340296e-113,1.08966806117885,0.533,0.281,2.3806942368609e-109,"4","Tox"
"186",2.14532240760401e-97,2.26420377102626,0.113,0.023,4.30008423380148e-93,"4","Chrne"
"187",8.55114146932613e-95,1.16606438855237,0.494,0.278,1.71399079611173e-90,"4","Megf9"
"188",1.93427464463408e-89,1.59208932121002,0.249,0.095,3.87706009770456e-85,"4","Clic6"
"189",6.53150220115715e-86,1.86915883516678,0.157,0.045,1.30917430119994e-81,"4","Tle2"
"190",1.91577724330818e-81,1.07296217664744,0.456,0.255,3.83998390648691e-77,"4","Phactr2"
"191",4.97382956443452e-81,1.25620966313033,0.373,0.188,9.96954397895256e-77,"4","Zic4"
"192",2.13940926927476e-79,1.16206389459227,0.371,0.185,4.28823193933434e-75,"4","Wasl"
"193",2.29890429433737e-78,1.03858310152448,0.48,0.281,4.60792376756982e-74,"4","B3gat1"
"194",4.40449860354834e-74,1.60889972951055,0.276,0.125,8.82837700095228e-70,"4","Dach2"
"195",1.00590444640862e-73,2.13996765684702,0.092,0.02,2.01623487238144e-69,"4","4921539H07Rik"
"196",1.03751169234588e-72,1.26820718627469,0.315,0.151,2.07958843613809e-68,"4","Nab1"
"197",4.70206574118728e-72,1.72414942282556,0.163,0.054,9.42482057163578e-68,"4","Atp10a"
"198",2.44764261425885e-68,2.11903326871385,0.093,0.022,4.90605485602044e-64,"4","Gpr4"
"199",4.36321593466591e-68,1.12156479641064,0.379,0.206,8.74563001944436e-64,"4","Pitpnm3"
"200",7.8039528613798e-67,1.58935532528886,0.187,0.07,1.56422431153497e-62,"4","Grm4"
"201",0,1.64839261530605,0.887,0.456,0,"5","Cntn5"
"202",0,2.41966918822587,0.818,0.416,0,"5","Il1rapl2"
"203",4.69450674638169e-286,1.14875285836411,0.981,0.857,9.40966932244746e-282,"5","Lrp1b"
