"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.240399768764e-57,1.08149855985642,0.408,0.208,1.31116399412547e-52,"3","Mef2c"
1.46481670484271e-55,1.56433920894889,0.227,0.08,2.65263657079966e-51,"3","Tmtc2"
6.08360360443573e-54,1.35296274538433,0.66,0.571,1.10167977672727e-49,"3","Sgcd"
4.36865887252236e-51,2.56279875179567,0.109,0.021,7.91120435225075e-47,"3","Parm1"
1.16514068512933e-44,1.21003739529575,0.281,0.128,2.1099532667007e-40,"3","Glra2"
5.85455143343431e-38,2.23177605432325,0.132,0.041,1.06020071908062e-33,"3","Kcnh8"
1.42526072752088e-33,1.09113108490726,0.356,0.214,2.58100465146756e-29,"3","Ptprk"
1.76471046039241e-32,2.11926538751322,0.086,0.021,3.19571417272461e-28,"3","Drd3"
1.53277944090059e-26,1.45426827815989,0.142,0.058,2.77571028952687e-22,"3","Tmem255a"
3.00023528878523e-26,2.88832424675003,0.046,0.007,5.43312608446116e-22,"3","Homer3"
2.57417199335938e-23,2.08016104293593,0.07,0.019,4.66156806277449e-19,"3","Igfbp5"
1.1272820381711e-22,1.10579314184636,0.195,0.101,2.04139504292405e-18,"3","Shroom4"
2.47527138334464e-22,2.29825804375586,0.057,0.014,4.4824689480988e-18,"3","Dgkk"
2.93086693200997e-20,1.27140951375968,0.113,0.047,5.30750692717685e-16,"3","Synm"
3.28435801283002e-20,1.38014298051635,0.117,0.05,5.94764392543389e-16,"3","Ap1s2"
3.79925095456732e-20,1.7921260005628,0.072,0.023,6.88006355362596e-16,"3","Zan"
1.10156559806029e-17,1.47652655551287,0.096,0.04,1.99482514152737e-13,"3","Mdga1"
2.24960402215998e-17,1.16403144768742,0.156,0.082,4.0738079237295e-13,"3","Fras1"
2.80916092280681e-17,1.1272566910474,0.12,0.056,5.08710951511086e-13,"3","Adgra1"
1.54359602418453e-16,1.30604350225225,0.095,0.041,2.79529804019576e-12,"3","Fgd5"
2.29147586916615e-16,1.24813222530848,0.13,0.065,4.14963365147298e-12,"3","Sntb1"
1.28075513512393e-15,1.07282083239424,0.109,0.051,2.31931947419593e-11,"3","Lmo2"
2.08655383803841e-15,2.0335456836608,0.044,0.012,3.77854034530375e-11,"3","Vangl1"
1.30522719253907e-14,1.14938316954081,0.095,0.043,2.363635922969e-10,"3","Isl1"
1.39267637045214e-14,1.93503629152673,0.041,0.011,2.52199763925179e-10,"3","RP24-230H23.1"
1.4859992344696e-14,1.30399399863159,0.088,0.039,2.690996013701e-10,"3","Cables1"
3.64086318615411e-14,1.95905195743666,0.04,0.011,6.59323914380648e-10,"3","Trib1"
0,4.33385112061858,0.855,0.123,0,"4","Cpa6"
9.35941912098675e-121,1.90390559150242,0.863,0.358,1.69489720861949e-116,"4","Htr2c"
1.73212551948634e-112,1.69968584154898,0.933,0.563,3.13670610323782e-108,"4","Dmd"
1.46812958371216e-102,1.15844931736666,0.995,0.853,2.65863586314434e-98,"4","Epha6"
2.64511031700498e-97,1.2314479145035,0.987,0.84,4.79003027306432e-93,"4","Grm7"
1.48812441952988e-88,1.36903965011673,0.946,0.67,2.69484451132666e-84,"4","Prkg1"
1.50544324542358e-87,1.05033303616979,0.973,0.679,2.72620717313757e-83,"4","Galntl6"
1.99532864811929e-76,1.73609346074745,0.685,0.273,3.61334064887923e-72,"4","Sphkap"
5.37859300180415e-75,1.16122968808032,0.93,0.57,9.74009406696713e-71,"4","Sgcd"
1.12171961789159e-74,1.43122724807969,0.785,0.362,2.03132205603988e-70,"4","Pbx3"
1.71104891588561e-70,2.86094562263256,0.28,0.051,3.09853848177726e-66,"4","Pappa"
4.12263218501465e-68,2.27258291379906,0.344,0.077,7.46567462384302e-64,"4","Zfp536"
8.54696590308647e-68,1.9638567574593,0.5,0.161,1.54777005538993e-63,"4","Nfia"
1.26488491642072e-67,1.70455668082239,0.648,0.263,2.29058009514628e-63,"4","Sorcs3"
1.18071062607369e-62,2.5013665096636,0.288,0.059,2.13814887275685e-58,"4","Rarb"
1.86207129197157e-59,1.41660889148396,0.75,0.388,3.37202490263132e-55,"4","Epha3"
1.71480751836458e-58,1.59581597024479,0.597,0.246,3.10534493500642e-54,"4","Zfp804b"
8.86304667631137e-58,2.03321184696144,0.384,0.107,1.60500912261323e-53,"4","Htr7"
1.03008687557321e-56,2.36732798871274,0.288,0.064,1.86538432297552e-52,"4","Col6a3"
7.83920949005347e-55,1.7863286615891,0.465,0.157,1.41960244655378e-50,"4","Sv2c"
1.60934022148949e-54,2.03577942445849,0.341,0.091,2.91435420709531e-50,"4","Reln"
6.60224981467298e-54,2.03404499885781,0.384,0.113,1.19560141893913e-49,"4","Col23a1"
6.79497487272264e-53,1.35791074286369,0.699,0.355,1.23050199970134e-48,"4","Pam"
8.01311276104072e-51,1.10964590774343,0.669,0.296,1.45109458989686e-46,"4","Nfib"
7.40513359817399e-50,1.03941962858027,0.901,0.605,1.34099564329333e-45,"4","Sema6d"
7.95648306457e-50,1.01765490334248,0.901,0.616,1.44083951816298e-45,"4","Sorcs1"
2.39664960792944e-46,2.30276732646164,0.306,0.086,4.34009277499943e-42,"4","Wls"
1.22300838332769e-42,1.20873787308216,0.731,0.407,2.21474588136812e-38,"4","A330008L17Rik"
1.15512141483981e-41,3.98665197236938,0.067,0.004,2.09180937013341e-37,"4","Sncg"
9.60806469958445e-39,1.07011315648762,0.653,0.338,1.73992443644775e-34,"4","Brinp3"
1.20390807465313e-37,3.14460433214562,0.124,0.018,2.18015713238935e-33,"4","Otx2os1"
3.15837257377411e-37,3.10523009381147,0.118,0.017,5.71949689384754e-33,"4","Ecel1"
3.62452722700598e-37,1.86829799419388,0.29,0.089,6.56365635538513e-33,"4","Spon1"
5.37341734397108e-37,1.78765139938716,0.293,0.09,9.73072146819722e-33,"4","Ablim1"
2.48251105257564e-36,1.31317930182856,0.551,0.27,4.49557926510922e-32,"4","Map4k3"
3.96939902285432e-35,3.27171268453317,0.091,0.011,7.18818469048688e-31,"4","Tns1"
7.07061114061736e-35,1.017530062863,0.761,0.503,1.2804169714544e-30,"4","Mctp1"
6.47915650418989e-32,1.06336733624701,0.645,0.361,1.17331045134375e-27,"4","Plxdc2"
1.08302764927999e-31,2.17260453952025,0.21,0.057,1.96125477008114e-27,"4","Ndst4"
1.27633214951856e-31,2.34324319926467,0.164,0.037,2.31130988956315e-27,"4","Enpp1"
2.74549709841663e-29,1.08319387492301,0.57,0.313,4.97182069552267e-25,"4","Trps1"
4.16189485405964e-29,2.21960065201388,0.191,0.051,7.5367753912166e-25,"4","P3h2"
1.12162252914147e-28,1.24317938593534,0.435,0.198,2.03114623802229e-24,"4","Ptchd1"
1.73833232883069e-28,2.27310726660493,0.142,0.031,3.14794601427949e-24,"4","A830019P07Rik"
6.05045061812901e-25,1.80252740799987,0.212,0.068,1.09567610243698e-20,"4","Thsd4"
3.59259526005596e-24,1.0477068109791,0.535,0.307,6.50583075643533e-20,"4","Khdrbs2"
2.46865259130725e-23,1.17148003813701,0.473,0.253,4.47048297759831e-19,"4","Lrrc16a"
2.88356236798435e-23,1.41805375393912,0.293,0.118,5.22184309218285e-19,"4","Matn2"
2.53730737865373e-21,1.46723496455393,0.298,0.129,4.59480993200403e-17,"4","Mei4"
1.55414323827415e-20,2.27004096355714,0.102,0.022,2.81439799019065e-16,"4","S100a16"
6.04061213453278e-220,3.50166380957377,0.959,0.397,1.09389445144254e-215,"5","Gpc5"
4.23036645184131e-162,3.14804687398829,0.622,0.122,7.66077060763943e-158,"5","Stxbp6"
2.96749202201436e-147,3.00044702620943,0.627,0.142,5.3738313026658e-143,"5","Lmo4"
8.53424040619375e-145,2.24195634494073,0.948,0.539,1.54546559515763e-140,"5","Rora"
4.40767095491501e-135,1.77707256312682,0.994,0.61,7.9818513322556e-131,"5","Nxph1"
2.69448363044193e-125,1.68349955787934,0.97,0.73,4.87944040636729e-121,"5","Pde4d"
2.517246162116e-118,2.0269498977202,0.931,0.61,4.55848107497586e-114,"5","Ptprt"
6.52251856349264e-116,1.67538915948376,0.972,0.709,1.18116288666288e-111,"5","Cntn4"
2.13086190216369e-108,1.7888831004764,0.931,0.623,3.85877781862823e-104,"5","Mllt3"
1.82666139121685e-101,1.89261749904549,0.845,0.361,3.30790111335459e-97,"5","Tox"
1.14321785894962e-91,2.15967109671881,0.605,0.185,2.07025322077186e-87,"5","Grik1"
1.03366710953479e-89,4.21014587066004,0.141,0.008,1.87186776865655e-85,"5","Oprk1"
1.42633854941597e-82,1.5482334903058,0.892,0.606,2.58295647913738e-78,"5","Focad"
2.41032571048345e-81,1.06505063567406,1,0.901,4.36485882911448e-77,"5","Gabrg3"
4.22770856304919e-77,1.54954007226925,0.865,0.533,7.65595743682578e-73,"5","Shisa6"
7.69913259277571e-77,2.2688112309894,0.528,0.162,1.39423592122575e-72,"5","Pcdh10"
6.00321915727619e-76,1.22732354879895,0.972,0.864,1.08712295719115e-71,"5","Gabrb1"
2.46415127666882e-73,2.09046780155061,0.884,0.685,4.46233154691956e-69,"5","Galntl6"
6.24820323912635e-60,1.95694484548151,0.475,0.152,1.13148712457339e-55,"5","Man2a1"
2.46497719814046e-52,1.54336033006202,0.729,0.408,4.46382720811255e-48,"5","Rbms3"
3.66678549339222e-50,2.30747285135851,0.34,0.096,6.64018184998396e-46,"5","Kcnh5"
1.56995667861711e-48,1.43122398150489,0.768,0.455,2.84303454930773e-44,"5","Kcnt2"
1.39385106506964e-47,2.28050950976589,0.271,0.065,2.52412489373461e-43,"5","Plpp4"
7.28306402981114e-47,1.41959854083122,0.771,0.536,1.3188900651585e-42,"5","Asic2"
2.17139706795362e-43,1.49780406346266,0.624,0.308,3.9321829503572e-39,"5","Cdh7"
2.27432189334846e-43,2.76381616909635,0.174,0.031,4.11856951666473e-39,"5","Ppfibp1"
3.12882395778952e-42,1.92014636336474,0.354,0.113,5.66598730516105e-38,"5","Frmd4b"
4.15907494013813e-42,1.04654246449831,0.854,0.604,7.53166880909614e-38,"5","Kirrel3"
4.59415450783025e-42,2.49780406346266,0.182,0.034,8.3195543982298e-38,"5","Slc7a5"
3.21804454895806e-41,1.70017568738983,0.467,0.189,5.82755687370814e-37,"5","Pcdh11x"
4.60100721057631e-37,2.2214035396413,0.296,0.093,8.33196395763264e-33,"5","Sh3d19"
1.80057489469398e-36,3.1633850243921,0.099,0.012,3.26066107680133e-32,"5","Atf5"
2.06907801529542e-36,1.33474578150861,0.608,0.331,3.74689337789847e-32,"5","Dab1"
5.6559429002405e-35,1.54057968656564,0.459,0.199,1.02423469980455e-30,"5","Itpr1"
7.4396259280069e-35,2.12265929130733,0.213,0.053,1.34724185930277e-30,"5","Synm"
5.36154710187452e-34,2.41699201787456,0.16,0.032,9.70922564678456e-30,"5","Cobll1"
1.02621732374597e-33,4.14689690160353,0.055,0.003,1.85837695157158e-29,"5","Naip5"
2.44429732498509e-33,2.53022554115504,0.149,0.029,4.4263780258155e-29,"5","Strip2"
2.79853545799953e-33,1.09486639782334,0.762,0.542,5.06786786089134e-29,"5","Tmeff2"
3.63475357603664e-33,1.45693178204713,0.519,0.258,6.58217525084476e-29,"5","Gm29478"
