"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.70215454761391e-121,1.47689624242034,0.284,0.11,3.50201276626086e-117,"3","Htr4"
3.37800572172817e-118,1.89741244989619,0.181,0.054,6.94990897188353e-114,"3","Cftr"
4.70168751311502e-110,1.70182677988449,0.195,0.063,9.67325188948285e-106,"3","Cntnap3"
5.52769220516072e-110,2.66764136231807,0.087,0.015,1.13726739428977e-105,"3","C230014O12Rik"
9.75141659561752e-99,1.6655653204897,0.184,0.061,2.00625645038235e-94,"3","Sntg2"
5.58696583912226e-85,1.30722464329331,0.244,0.103,1.14946235174101e-80,"3","G630016G05Rik"
2.21563311666457e-81,1.81969661819465,0.125,0.037,4.55844357422568e-77,"3","Gucy1a3"
5.67616401178645e-78,1.80983063084723,0.129,0.04,1.16781398378494e-73,"3","Lncenc1"
4.38263533643779e-71,1.08376571909924,0.294,0.147,9.01683394118711e-67,"3","Zfp423"
8.75472600937596e-70,1.41558472891366,0.225,0.101,1.80119732916901e-65,"3","Lrrk2"
6.3929636480918e-61,1.81280172663497,0.095,0.028,1.31528834095841e-56,"3","Ecel1"
3.28225730696233e-60,1.84835518153616,0.109,0.035,6.7529161833443e-56,"3","Fgd5"
1.05420441663747e-59,1.02579602465922,0.26,0.131,2.16892016678993e-55,"3","Scn5a"
1.03533796768772e-56,1.07755250566268,0.285,0.156,2.13010433472071e-52,"3","March3"
2.88497388722276e-55,1.01954001312598,0.353,0.217,5.9355452755721e-51,"3","Cadps2"
1.32944133867006e-51,2.00073696555851,0.067,0.017,2.73519261017979e-47,"3","Nts"
5.83461525496551e-48,1.55942549813178,0.112,0.042,1.2004137425566e-43,"3","Nox4"
1.5056117939667e-47,1.22294618383626,0.167,0.076,3.09764570490709e-43,"3","Adamts3"
6.78578729462273e-46,1.15061818474755,0.174,0.082,1.39610787799568e-41,"3","Rgs2"
1.13259302088404e-45,1.21493285362308,0.183,0.089,2.33019688116683e-41,"3","Gm28905"
5.79460580488462e-45,2.32556212974554,0.043,0.009,1.19218219829696e-40,"3","Cdcp1"
1.64352494987547e-43,1.19948985804227,0.143,0.063,3.3813882318738e-39,"3","Fbn2"
2.36007270795477e-43,1.62007785606736,0.113,0.045,4.85561358934615e-39,"3","Fyb"
1.08427720101276e-35,1.38641430323816,0.101,0.042,2.23079191336365e-31,"3","Plch1"
7.74531249358677e-35,2.0245649655686,0.049,0.014,1.59352059243054e-30,"3","Epsti1"
3.35254298429248e-32,1.02314738026283,0.172,0.092,6.89752193588335e-28,"3","Ptpro"
3.31820162414527e-29,1.16711068028328,0.138,0.071,6.82686802151647e-25,"3","Plekhh2"
2.66320196910185e-28,2.04944878067685,0.033,0.008,5.47927173123015e-24,"3","C030005K15Rik"
1.60387737234073e-27,1.35391736711954,0.075,0.03,3.29981730585382e-23,"3","Rnf207"
0,2.1751535290942,0.574,0.169,0,"4","Stac2"
0,1.57885732185297,0.833,0.479,0,"4","Prkca"
3.40511499018981e-297,1.97014154944707,0.512,0.167,7.00568358081651e-293,"4","Stac"
6.44387473661727e-292,2.10584026381345,0.51,0.173,1.32576278831164e-287,"4","Lmo4"
1.76170776588784e-272,1.29914615115159,0.867,0.573,3.62453755753763e-268,"4","Focad"
2.20879491410297e-255,1.11834965817832,0.914,0.677,4.54437465627546e-251,"4","Man1a"
1.43701495558909e-253,1.06815599005352,0.912,0.653,2.95651456962899e-249,"4","Etl4"
7.55759916722971e-251,1.02680558561679,0.941,0.766,1.55490045266584e-246,"4","Astn2"
3.85129611700185e-250,1.00680839688248,0.936,0.81,7.92365663111961e-246,"4","Grin2b"
7.9872325712695e-250,1.28040413910141,0.807,0.465,1.64329322921299e-245,"4","Rbms3"
2.17477417607659e-249,1.64784010781555,0.639,0.29,4.47438038985997e-245,"4","Cdh7"
3.25708541207607e-237,1.43442408749915,0.725,0.38,6.70112752680532e-233,"4","Pld5"
1.38272960619569e-234,1.72328083335234,0.614,0.276,2.84482789178702e-230,"4","Rapgef5"
1.1841339051306e-213,1.80457007637238,0.397,0.128,2.4362370964157e-209,"4","Hunk"
3.85055496998968e-213,1.38421380949688,0.694,0.36,7.92213179525677e-209,"4","Sox5"
6.81839383859927e-213,1.57767871764929,0.525,0.209,1.40281634835341e-208,"4","Whrn"
2.01993264825939e-211,1.1958691645394,0.848,0.599,4.15580943052886e-207,"4","Mllt3"
9.46386549955672e-208,2.20195299796314,0.258,0.06,1.9470956878788e-203,"4","Met"
7.93489735416161e-200,1.06273015744898,0.872,0.648,1.63252578164521e-195,"4","Fat3"
1.95329841263887e-190,1.8642794500618,0.337,0.103,4.01871615416322e-186,"4","Ssh1"
1.46008254370912e-173,1.35525697760859,0.624,0.321,3.00397382542715e-169,"4","Tox"
5.56300556560332e-167,1.26486043463473,0.649,0.361,1.14453276506723e-162,"4","Ptpn5"
1.05093498729153e-164,1.56539842116897,0.418,0.164,2.1621936428536e-160,"4","Tmem163"
5.01695631155561e-163,1.81866105093295,0.382,0.145,1.03218859153945e-158,"4","Grik1"
3.59023858074761e-162,1.20933768435499,0.713,0.456,7.38655685603014e-158,"4","2010300C02Rik"
5.73725135515581e-157,1.4077013619868,0.486,0.214,1.18038209380976e-152,"4","Trpc3"
3.30753444674386e-156,1.43910098874915,0.466,0.2,6.80492137073082e-152,"4","Mob3b"
1.6090038327375e-149,1.1366742838088,0.774,0.524,3.31036448547413e-145,"4","Nxph1"
2.48130844180151e-147,2.17656159433059,0.192,0.046,5.10504398816244e-143,"4","Synm"
7.79169958681569e-146,1.8971728181587,0.311,0.108,1.60306427299146e-141,"4","Trpc6"
4.82750235937666e-142,2.16645890415823,0.187,0.045,9.93210335418154e-138,"4","Strip2"
3.41229468738868e-139,1.13230457916905,0.72,0.469,7.02045508983347e-135,"4","Kcnt2"
9.8409329324076e-132,1.3166058654714,0.484,0.233,2.02467354151354e-127,"4","Brinp2"
3.51484558164249e-124,1.12163232093952,0.673,0.454,7.23144329967126e-120,"4","Specc1"
1.71840415621084e-116,1.4526769123966,0.361,0.153,3.53544471098818e-112,"4","Man2a1"
1.44636350612422e-113,1.46231935493692,0.377,0.167,2.97574827749996e-109,"4","Zic4"
4.0531919031887e-113,1.09437721324025,0.615,0.381,8.33903702162042e-109,"4","Lrrfip1"
8.17712311505998e-109,2.3630749338583,0.122,0.025,1.68236130969244e-104,"4","Prss23"
3.59848136685405e-107,1.25462388778816,0.474,0.247,7.40351556416552e-103,"4","AI593442"
2.40962611355853e-105,1.02301996749373,0.641,0.414,4.95756476603532e-101,"4","Aff3"
1.34669369038773e-99,1.35228516288709,0.382,0.18,2.77068759860372e-95,"4","Pcdh10"
1.80727373388569e-95,1.39874593048778,0.32,0.139,3.71828498009641e-91,"4","Nab1"
1.61638745274114e-94,1.82619840463644,0.17,0.05,3.32555554526961e-90,"4","Plpp4"
4.99533683916233e-94,1.01295360449206,0.607,0.399,1.02774060128926e-89,"4","Wipf3"
8.88357038659117e-91,1.64357294474151,0.225,0.082,1.82770577133727e-86,"4","Clic6"
1.93914546500306e-80,1.10450478870049,0.475,0.28,3.9895978796973e-76,"4","Megf9"
2.33212534564776e-79,1.98293086949336,0.136,0.039,4.7981146861357e-75,"4","Lmo2"
6.1738547874402e-76,2.09555543300844,0.094,0.021,1.27020888396795e-71,"4","Chrne"
4.38933486342241e-73,1.67057045327967,0.156,0.051,9.03061754800527e-69,"4","Slc12a8"
1.07939229004421e-68,1.16627299753948,0.358,0.19,2.22074169753696e-64,"4","Pitpnm3"
0,3.70089474362788,0.97,0.342,0,"5","Fam19a1"
0,2.29920680582159,0.892,0.371,0,"5","Pld5"
0,3.58897859245942,0.518,0.106,0,"5","Dach2"
0,1.32140841902097,0.961,0.761,0,"5","Ryr3"
0,3.32148293646841,0.184,0.02,0,"5","Crhr2"
1.14204036125736e-287,1.52918426945776,0.819,0.466,2.3496338392509e-283,"5","Rbms3"
3.25554416463558e-282,1.47007080959819,0.711,0.313,6.69795656432124e-278,"5","Ntng1"
3.19336287969471e-255,1.3689391509747,0.81,0.447,6.57002478868389e-251,"5","Egfem1"
3.22084135173169e-243,2.00821112298227,0.493,0.175,6.62655899705277e-239,"5","Stac2"
1.47340009670611e-234,1.91911184902573,0.546,0.223,3.03137335896314e-230,"5","4933427D14Rik"
2.3475015517563e-224,1.23493354370652,0.9,0.723,4.82974969258342e-220,"5","Ppm1e"
3.87336081274799e-224,1.67938842907333,0.535,0.209,7.96905253614771e-220,"5","Whrn"
2.08171546934151e-214,3.15041127047437,0.144,0.018,4.28292140662323e-210,"5","Chrne"
8.44068761680999e-210,1.19328214368583,0.868,0.64,1.73658707028249e-205,"5","Ncdn"
4.64835001453987e-197,1.5669748022026,0.67,0.361,9.56351531991434e-193,"5","Ptpn5"
1.56283486387026e-194,1.26486213641801,0.762,0.454,3.21537644892667e-190,"5","2010300C02Rik"
2.38874621933945e-194,1.47731619462944,0.733,0.451,4.91460647166899e-190,"5","Specc1"
2.90900764372576e-189,1.11074632468062,0.847,0.576,5.98499232620138e-185,"5","Focad"
2.53255778984086e-170,1.29132202055347,0.754,0.485,5.21048439681858e-166,"5","Prkca"
4.31942683635179e-165,1.2622466266864,0.733,0.468,8.88678877311018e-161,"5","Syt7"
6.97462905803319e-161,1.29156932001215,0.684,0.395,1.43496018239975e-156,"5","Wipf3"
1.61574340086406e-160,1.76281038023778,0.429,0.173,3.32423047293772e-156,"5","Stac"
2.3958017743486e-146,3.55238967969852,0.072,0.006,4.92912257054482e-142,"5","Gpr139"
2.12392375706844e-141,1.43825819195566,0.53,0.264,4.36976073779261e-137,"5","Hectd2"
4.07046492655854e-136,2.13226982848914,0.219,0.06,8.37457453990154e-132,"5","Grm4"
9.34040431230798e-135,1.47280337077351,0.48,0.228,1.92169478321424e-130,"5","Ephb1"
2.5710377795159e-125,1.47313839994367,0.412,0.181,5.28965312757602e-121,"5","Kcnh1"
4.41916999990245e-121,1.50729934136362,0.384,0.163,9.0920003577993e-117,"5","Kcnn3"
